brand,model_name,model_norm,product_type,car_year,vehicle_age,car_price,brand_origin,segment,brand_tier,rv_grade,risk_grade,profit_grade,brand_delinquency_rate,model_delinquency_rate,model_profit_rate,reference_new_price,brand_reference_new_price,brand_new_obs,implied_residual_ratio
BMW,528i,528I,Used Car,2014,10.0,35000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.27722772277227725
BMW,I8,I8,Used Car,2014,10.0,78000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.6178217821782178
BMW,I3,I3,Used Car,2014,10.0,19500.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.15445544554455445
BMW,BMW 428 I,BMW 428 I,Used Car,2014,10.0,32800.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.2598019801980198
BMW,740Li,740LI,Used Car,2014,10.0,41000.0,Europe,Sedan,Unknown,Unknown,A,Best,0.26723390805580904,0.0029347157312143456,0.10023623996228184,126250.0,126250.0,6.0,0.32475247524752476
BMW,I8,I8,Used Car,2015,9.0,88000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.697029702970297
BMW,I8,I8,Used Car,2015,9.0,84000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.6653465346534654
BMW,I8,I8,Used Car,2015,9.0,86000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.6811881188118812
BMW,I8,I8,Used Car,2015,9.0,95000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.7524752475247525
BMW,528i,528I,Used Car,2015,9.0,41000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.32475247524752476
BMW,I3,I3,Used Car,2015,9.0,20000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.15841584158415842
BMW,X4,X4,Used Car,2016,8.0,68000.0,Europe,SUV C-seg,Unknown,Unknown,A,Best,0.26723390805580904,0.001004694418536083,0.1080969100200945,128800.0,126250.0,6.0,0.5279503105590062
BMW,740Li,740LI,Used Car,2016,8.0,75000.0,Europe,Sedan,Unknown,Unknown,A,Best,0.26723390805580904,0.0029347157312143456,0.10023623996228184,126250.0,126250.0,6.0,0.594059405940594
BMW,740Li,740LI,Used Car,2016,8.0,97000.0,Europe,Sedan,Unknown,Unknown,A,Best,0.26723390805580904,0.0029347157312143456,0.10023623996228184,126250.0,126250.0,6.0,0.7683168316831683
BMW,740Li,740LI,Used Car,2016,8.0,87000.0,Europe,Sedan,Unknown,Unknown,A,Best,0.26723390805580904,0.0029347157312143456,0.10023623996228184,126250.0,126250.0,6.0,0.689108910891089
